Column1,Column2
"IMDb: Ratings, Reviews, and Where to Watch the Best Movies ...",https://www.imdb.com/
,https://www.britannica.com/topic/IMDb
,https://www.imdb.com/chart/top/
,https://www.pocket-lint.com/tv/news/amazon/146740-how-does-imdb-freedive-work-and-which-movies-does-it-offer
,https://www.wired.co.uk/article/which-film-ranking-site-should-i-trust-rotten-tomatoes-imdb-metacritic
IMDb - Wikipedia,https://en.wikipedia.org/wiki/IMDb
IMDb - YouTube,https://www.youtube.com/channel/UC_vz6SvmIkYs1_H3Wv2SKlg
IMDb - Home | Facebook,https://www.facebook.com/imdb/
IMDb (@imdb) • Instagram photos and videos,https://www.instagram.com/imdb/?hl=en
"IMDb: Your guide to movies, TV shows, celebrities - Apps on ...",https://play.google.com/store/apps/details?id=com.imdb.mobile&hl=en&gl=US
IMDb (@IMDb) | Twitter,https://twitter.com/imdb?lang=en
"IMDb | History, Features, & Facts | Britannica",https://www.britannica.com/topic/IMDb
‎IMDb: Movies & TV Shows on the App Store - App Store - Apple,https://apps.apple.com/us/app/imdb-movies-tv-shows/id342792525
IMDb | Amazon.jobs,https://www.amazon.jobs/en/teams/imdb
Vijay's 'Master' tops IMDb list of most popular Indian films in ...,https://www.thehindu.com/entertainment/movies/vijays-master-tops-imdb-list-of-most-popular-indian-films-in-2021/article34788500.ece
Vijay's 'Master' to Mohanlal's 'Drishyam 2': IMDb list of most ...,https://www.newindianexpress.com/galleries/entertainment/2021/jun/12/vijay-master-to-mohanlal-drishyam-2-imdb-list-of-most-popular-indian-films-in-2021-103156.html
IMDB - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/imdb
Sushant Singh Rajput fans attack IMDb rating of 'Nyay: The ...,https://www.republicworld.com/entertainment-news/bollywood-news/sushant-singh-rajput-fans-attack-imdb-rating-of-nyay-the-justice-as-trailer-releases.html
Scam 1992 is highest rated Indian series among IMDb's top ...,https://indianexpress.com/article/entertainment/web-series/scam-1992-only-indian-series-in-imdb-top-250-shows-in-world-pratik-gandhi-7352887/
Vijay's Master to Priyanka Chopra's The White Tiger: IMDb's ...,https://www.pinkvilla.com/entertainment/vijays-master-priyanka-chopras-white-tiger-imdbs-most-popular-indian-films-web-shows-2021-773697
Amazon.com Help: What is IMDb TV?,https://www.amazon.com/gp/help/customer/display.html?nodeId=G8RFJ29923AUM6ZE
'Scam 1992' is top Indian series in IMDb list of highest-rated ...,https://www.greatandhra.com/movies/news/scam-1992-is-top-indian-series-in-imdb-list-113702
12 Of The Highest Rated Action Movies According To IMDb,https://www.scoopwhoop.com/entertainment/highest-rated-action-movies-according-to-imdb/
Suriya's Soorarai Pottru to Peranbu: IMDB's 8 highest-rated ...,https://www.timesnownews.com/entertainment-news/tamil/article/suriyas-soorarai-pottru-to-peranbu-imdbs-8-highest-rated-tamil-films-of/768801
Master Smashes IMDb Record; Thalapathy Vijay Beats The ...,https://www.india.com/entertainment/master-thalapathy-vijay-world-record-imdb-ratings-beats-the-white-tiger-priyanka-chopra-master-smashes-records-news-4732992/
Vakeel Saab beats Pink on IMDb - The Hans India,https://www.thehansindia.com/cinema/tollywood/vakeel-saab-beats-pink-on-imdb-690333
IMDb Salaries | Glassdoor,https://www.glassdoor.co.in/Salary/IMDb-Salaries-E1180317.htm
Actor Vijay Master Movie Tops IMDb List Of Popular Indian ...,https://tamil.abplive.com/entertainment/actor-vijay-master-movie-tops-imdb-list-of-popular-indian-movies-6023
